Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 09/22  23:00:00,0.955109586,1.336175722,0.00E+00,0.827517092,0.00E+00,2.28E-02,2.28E-02,2.28E-02,0.31456479,6.85E-02,0.146949182,0.385163702,0.482129435
 09/22  24:00:00,0.664487205,1.694076059,0.00E+00,1.32725731,0.00E+00,3.65E-02,3.65E-02,3.65E-02,0.159561806,3.48E-02,9.79E-02,0.318589049,0.344875064
 09/23  01:00:00,0.559138833,1.930639383,0.00E+00,1.621853704,0.00E+00,4.47E-02,4.47E-02,4.47E-02,9.57E-02,2.09E-02,8.74E-02,0.293336594,0.288581325
 09/23  02:00:00,0.5134471,2.263991406,0.00E+00,1.974814135,0.00E+00,5.44E-02,5.44E-02,5.44E-02,6.38E-02,1.39E-02,7.43E-02,0.28993559,0.26920717
 09/23  03:00:00,0.509176255,2.579209755,0.00E+00,2.285190004,0.00E+00,6.29E-02,6.29E-02,6.29E-02,6.38E-02,1.39E-02,6.56E-02,0.285854385,0.274330754
 09/23  04:00:00,0.512913677,2.774390812,0.00E+00,2.426435893,0.00E+00,6.68E-02,6.68E-02,6.68E-02,6.38E-02,1.39E-02,7.62E-02,0.275056198,0.329009676
 09/23  05:00:00,0.566895762,3.133219127,0.00E+00,2.546029294,0.00E+00,7.01E-02,7.01E-02,7.01E-02,6.84E-02,1.49E-02,8.95E-02,0.30694061,0.566048466
 09/23  06:00:00,0.753954501,3.959440905,0.00E+00,2.924148202,0.00E+00,8.05E-02,8.05E-02,8.05E-02,0.127649462,2.78E-02,0.146230364,0.354639691,1.010865932
 09/23  07:00:00,1.006178805,3.809690352,0.00E+00,2.647671099,0.00E+00,7.29E-02,7.29E-02,7.29E-02,0.241622204,5.26E-02,0.230070928,0.376831242,1.136063978
 09/23  08:00:00,0.957040329,3.859774739,0.00E+00,2.728498622,0.00E+00,7.51E-02,7.51E-02,7.51E-02,0.200592047,4.37E-02,0.301918794,0.318589049,1.109332432
 09/23  09:00:00,0.862828721,3.826821066,0.00E+00,2.795848763,0.00E+00,7.70E-02,7.70E-02,7.70E-02,0.100296024,2.19E-02,0.375444793,0.271145043,1.012296452
 09/23  10:00:00,0.880622428,4.339142809,0.00E+00,3.425120523,0.00E+00,9.43E-02,9.43E-02,9.43E-02,7.75E-02,1.69E-02,0.39729662,0.277521925,0.89490721
 09/23  11:00:00,0.900464366,4.376560804,0.00E+00,3.568560285,0.00E+00,9.83E-02,9.83E-02,9.83E-02,7.75E-02,1.69E-02,0.413104166,0.27760695,0.788879587
 09/23  12:00:00,0.864733526,3.721879384,0.00E+00,2.995822359,0.00E+00,8.25E-02,8.25E-02,8.25E-02,7.75E-02,1.69E-02,0.397819063,0.27293057,0.707258192
 09/23  13:00:00,0.830068668,3.34970098,0.00E+00,2.672739685,0.00E+00,7.36E-02,7.36E-02,7.36E-02,7.75E-02,1.69E-02,0.362611946,0.282368356,0.657512408
 09/23  14:00:00,0.816693056,3.303037694,0.00E+00,2.672069871,0.00E+00,7.36E-02,7.36E-02,7.36E-02,7.75E-02,1.69E-02,0.333355083,0.29826805,0.610423801
 09/23  15:00:00,0.838845868,3.340639398,0.00E+00,2.702682869,0.00E+00,7.44E-02,7.44E-02,7.44E-02,7.75E-02,1.69E-02,0.338085124,0.314847944,0.616270522
 09/23  16:00:00,0.947736124,3.397643923,0.00E+00,2.69446831,0.00E+00,7.42E-02,7.42E-02,7.42E-02,8.66E-02,1.89E-02,0.378535167,0.372409937,0.677524868
 09/23  17:00:00,1.149873229,3.394665713,0.00E+00,2.563511092,0.00E+00,7.06E-02,7.06E-02,7.06E-02,0.127649462,2.78E-02,0.454299752,0.452418555,0.799993066
 09/23  18:00:00,1.328097701,4.030971671,0.00E+00,3.075839461,0.00E+00,8.47E-02,8.47E-02,8.47E-02,0.237063298,5.17E-02,0.416394348,0.491190001,0.921300165
 09/23  19:00:00,1.470857749,3.53598602,0.00E+00,2.55351735,0.00E+00,7.03E-02,7.03E-02,7.03E-02,0.433096355,9.44E-02,0.348977329,0.507004669,0.947547348
 09/23  20:00:00,1.71050177,3.237798494,0.00E+00,2.320203568,0.00E+00,6.39E-02,6.39E-02,6.39E-02,0.647365121,0.141044366,0.316662629,0.524434815,0.881473055
 09/23  21:00:00,1.627878325,3.120422347,0.00E+00,2.29124697,0.00E+00,6.31E-02,6.31E-02,6.31E-02,0.601776058,0.131111652,0.302601845,0.512191201,0.793896818
 09/23  22:00:00,1.324938686,3.239705006,0.00E+00,2.548199742,0.00E+00,7.02E-02,7.02E-02,7.02E-02,0.451331981,9.83E-02,0.244764799,0.443235845,0.660976192
 09/23  23:00:00,1.02359586,3.290111019,0.00E+00,2.750695406,0.00E+00,7.57E-02,7.57E-02,7.57E-02,0.31456479,6.85E-02,0.16248404,0.385163702,0.512886418
 09/23  24:00:00,0.718094413,3.413132494,0.00E+00,3.035499537,0.00E+00,8.36E-02,8.36E-02,8.36E-02,0.159561806,3.48E-02,0.104489819,0.318589049,0.355689271
 09/24  01:00:00,0.603423604,3.537884022,0.00E+00,3.230262232,0.00E+00,8.89E-02,8.89E-02,8.89E-02,9.57E-02,2.09E-02,8.74E-02,0.293336594,0.287417437
 09/24  02:00:00,0.550293489,3.601678928,0.00E+00,3.313063068,0.00E+00,9.12E-02,9.12E-02,9.12E-02,6.38E-02,1.39E-02,7.43E-02,0.28993559,0.26864576
